Показатели;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036
Объем платных услуг населению;25424.0;34325.0;45427.0;59692.0;75725.0;96393.0;127399.0;143225.0;143714.0;160604.0;178964.0;196575.0;218848.0;231570.0;240019.0;249900.3;261351.3;271720.0;221945.0;;;;;;;;;;;;;;;;
Объем платных услуг населению прогноз;;;;;;;;;;;;;;;;249810,875;261962,6562;271470,4688;222751,4219;154443,2969;146572,1562;107217,2188;-215097,5781;-38496,8242;42450,707;;;;;;;;;;
Оборот розничной торговли;82047.6;103785.0;133567.6;177376.8;239124.0;323420.5;428899.6;458949.2;512128.9;577987.3;633942.7;721818.1;781337.8;784663.1;803226.1;841128.4;879483.7;931528.8999999997;912651.2899999997;;;;;;;;;;;;;;;;
Оборот розничной торговли прогноз;;;;;;;;;;;;;;;;838357,75;885901,5625;913630,75;922468,8125;922095,3125;929711,75;951416,8125;976287,3125;989110,5625;987197,5;;;;;;;;;;
Собственные средства;20823.7;25708.699999999997;27971.699999999997;32445.0;35938.9;51443.5;62561.2;39626.799999999996;43664.7;59610.299999999996;71871.2;84409.65;91456.76999999999;106833.68699999999;107383.27799999999;104875.1;103845.1;113541.5;117608.345;;;;;;;;;;;;;;;;
Собственные средства прогноз;;;;;;;;;;;;;;;;101697,8281;103898,7422;109504,2031;118340,8672;100131,2656;132204,625;113657,0469;117141,0859;118804,7109;118217,9375;;;;;;;;;;
Привлеченные средства;20301.8;18867.899999999998;20335.3;31408.6;43310.9;60905.0;67762.59999999999;49545.6;41800.9;44106.1;62320.7;65247.47;72333.8;85859.59999999999;117603.1;74348.6;70266.7;95617.09999999999;97627.04;;;;;;;;;;;;;;;;
Привлеченные средства прогноз;;;;;;;;;;;;;;;;74509,1953;69925,9453;95739,2812;97688,9609;103879,9453;128313,1797;156840,4531;159199,9375;128582,3359;129231,3047;;;;;;;;;;
Номинальная начисленная среднемесячная заработная плата работников организаций;3717.9;4449.4;5389.4;6612.0;8632.3;11027.1;14084.1;14951.0;16377.7;18397.0;20264.7;22377.4;24987.6;25927.5;28107.9;30357.7;33752.8;36464.6;38738.1;;;;;;;;;;;;;;;;
Номинальная начисленная среднемесячная заработная плата работников организаций прогноз;;;;;;;;;;;;;;;;30682,2754;33408,0664;36158,8359;38970,6016;41806,3516;45271,7812;49145,0977;53299,6602;57391,8242;61769,1289;;;;;;;;;;
Дефлятор ВВП РФ;115.61392620376863;113.780061468852;120.28207692821789;119.30609483586849;115.17004710509624;113.80442067974063;117.95971403731893;101.99372282320176;114.18703858135449;115.91444760020681;109.08593113777675;105.40933847818816;107.50005591384846;108.02944161766655;103.4901711674809;105.20926662397694;107.97190612685141;103.4;104.3;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0
Обменный курс;28.4133285714286;30.6892;28.8063;28.2979;27.17;25.577;24.8553;31.7231;30.3692;29.3874;31.093;31.848;38.4217;60.9579;66.9;59.37498572740384;61.725930664260694;63.92085077007639;72.6;74.7;73.3;74.766;76.26132000000001;77.78654640000002;79.34227732800002;80.92912287456002;82.54770533205122;84.19865943869225;85.8826326274661;87.60028528001541;89.35229098561572;91.13933680532804;92.96212354143461;94.8213660122633;96.71779333250856
ИПЦ РФ;115.1;112.0;111.7;110.9;109.0;111.9;113.3;108.8;108.8;106.1;106.6;106.5;111.4;112.9;105.4;102.51;103.41;104.337;105.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0
